,created_at,positive,neutral,negative,count
18,2021-10-04 18,0.10546023468057367,0.8627170795306388,0.0318122555410691,767
19,2021-10-04 19,0.09288677130044844,0.8684585201793722,0.03865582959641256,892
20,2021-10-04 20,0.08536707152496625,0.8825249662618084,0.029394062078272602,741
21,2021-10-04 21,0.09803368421052631,0.8669347368421052,0.03502105263157895,475
22,2021-10-04 22,0.09880323054331865,0.8610249632892804,0.040158590308370046,681
23,2021-10-04 23,0.09537573964497043,0.8619023668639053,0.03975443786982248,338
0,2021-10-05 00,0.09454081632653062,0.8663954081632653,0.03648214285714286,392
1,2021-10-05 01,0.08675762195121951,0.8703978658536585,0.038272865853658536,656
2,2021-10-05 02,0.08455555555555555,0.8600000000000001,0.05544444444444445,306
3,2021-10-05 03,0.08724104234527688,0.8492671009771988,0.06347231270358307,307
4,2021-10-05 04,0.08986037735849056,0.8519471698113207,0.05817924528301887,530
5,2021-10-05 05,0.08109767441860465,0.8639627906976745,0.04562790697674419,215
6,2021-10-05 06,0.082126213592233,0.8751262135922331,0.0426747572815534,206
7,2021-10-05 07,0.07804961832061069,0.883469465648855,0.03654961832061069,524
8,2021-10-05 08,0.08093203883495145,0.8604902912621359,0.05367961165048544,206
9,2021-10-05 09,0.0778436018957346,0.8670710900473934,0.05029383886255924,211
10,2021-10-05 10,0.08850390625,0.868826171875,0.042650390625,512
11,2021-10-05 11,0.09492903225806452,0.8655634408602151,0.037335483870967745,465
12,2021-10-05 12,0.07435864978902954,0.8624303797468353,0.06318143459915612,474
13,2021-10-05 13,0.08335105204872648,0.8746112956810631,0.04202214839424141,903
14,2021-10-05 14,0.09294025604551921,0.8588691322901849,0.04533997155049786,703
15,2021-10-05 15,0.09305769230769231,0.8584097633136094,0.045573964497041416,676
16,2021-10-05 16,0.09924449594438006,0.865811123986095,0.033790266512166864,863
17,2021-10-05 17,0.08585793562708102,0.8755027746947835,0.03752830188679246,901
18,2021-10-05 18,0.09221739130434783,0.869164461247637,0.038621928166351606,529
19,2021-10-05 19,0.07895289079229123,0.8860877944325481,0.034982869379014986,467
20,2021-10-05 20,0.09961363636363636,0.8669977272727273,0.03338863636363636,440
21,2021-10-05 21,0.13665829145728645,0.8403894472361809,0.02294723618090452,398
22,2021-10-05 22,0.10462771739130435,0.8484646739130435,0.04688858695652174,368
23,2021-10-05 23,0.09393167701863353,0.8760652173913044,0.029981366459627328,322
0,2021-10-06 00,0.0908082191780822,0.8605753424657535,0.0486027397260274,219
1,2021-10-06 01,0.08789655172413793,0.8763836206896551,0.035750000000000004,232
2,2021-10-06 02,0.08323043478260869,0.8756478260869566,0.0411304347826087,230
3,2021-10-06 03,0.08456315789473684,0.8793947368421053,0.036047368421052634,190
4,2021-10-06 04,0.0813804347826087,0.8792119565217391,0.033978260869565215,184
5,2021-10-06 05,0.08805072463768115,0.8742463768115942,0.03767391304347826,138
6,2021-10-06 06,0.0964439024390244,0.840009756097561,0.06366341463414635,205
7,2021-10-06 07,0.05333834586466166,0.8914962406015038,0.05518796992481203,133
8,2021-10-06 08,0.07333333333333333,0.8876717948717949,0.03901025641025641,195
9,2021-10-06 09,0.07444502617801046,0.8855026178010471,0.04005759162303665,191
10,2021-10-06 10,0.07038735177865613,0.8827628458498024,0.046841897233201577,253
11,2021-10-06 11,0.0751602564102564,0.8794102564102564,0.0454775641025641,312
12,2021-10-06 12,0.09888235294117646,0.8613823529411765,0.03974705882352941,340
13,2021-10-06 13,0.09005804311774461,0.8769203980099503,0.03303316749585406,603
14,2021-10-06 14,0.0831907514450867,0.880614161849711,0.033307803468208094,692
15,2021-10-06 15,0.08976647834274952,0.8800169491525424,0.03020715630885122,531
16,2021-10-06 16,0.10580122324159022,0.8672844036697247,0.026888379204892968,654
17,2021-10-06 17,0.09317132867132867,0.8750104895104894,0.03180944055944056,572
