,created_at,positive,neutral,negative,count
4,2021-10-08 12,0.07692307692307693,0.9130769230769231,0.01,13
5,2021-10-08 13,0.11833333333333333,0.8816666666666667,0.0,3
6,2021-10-08 14,0.008125,0.975625,0.01625,8
7,2021-10-08 15,0.0,1.0,0.0,4
8,2021-10-08 16,0.0,1.0,0.0,3
9,2021-10-08 17,0.099,0.901,0.0,1
10,2021-10-08 18,0.0,1.0,0.0,3
11,2021-10-08 19,0.0,1.0,0.0,1
12,2021-10-08 20,0.08,0.9066666666666666,0.013333333333333334,3
0,2021-10-11 03,0.167,0.833,0.0,1
1,2021-10-11 08,0.0,1.0,0.0,1
2,2021-10-11 14,0.098,0.857,0.045,1
3,2021-10-11 16,0.0,1.0,0.0,1
4,2021-10-11 19,0.062,0.938,0.0,2
5,2021-10-11 20,0.0,1.0,0.0,1
6,2021-10-11 22,0.0,0.0,0.0,1
0,2021-10-12 14,0.122,0.848,0.031,1
1,2021-10-12 15,0.054,0.946,0.0,1
2,2021-10-12 17,0.0,1.0,0.0,1
3,2021-10-12 18,0.24514285714285713,0.7548571428571428,0.0,14
4,2021-10-12 19,0.244,0.7559999999999999,0.0,3
5,2021-10-12 20,0.244,0.756,0.0,2
6,2021-10-12 21,0.16290909090909092,0.7831818181818182,0.053909090909090907,11
7,2021-10-12 22,0.244,0.756,0.0,4
0,2021-10-13 00,0.148,0.8083333333333332,0.043666666666666666,3
1,2021-10-13 01,0.122,0.878,0.0,2
2,2021-10-13 02,0.078,0.922,0.0,1
3,2021-10-13 03,0.244,0.756,0.0,2
4,2021-10-13 04,0.20400000000000001,0.796,0.0,4
5,2021-10-13 05,0.23149999999999998,0.7685,0.0,2
6,2021-10-13 06,0.122,0.8240000000000001,0.054,2
7,2021-10-13 07,0.122,0.878,0.0,2
8,2021-10-13 08,0.244,0.756,0.0,1
9,2021-10-13 12,0.0,1.0,0.0,1
10,2021-10-13 13,0.19499999999999998,0.805,0.0,6
11,2021-10-13 14,0.1095,0.8905000000000001,0.0,2
12,2021-10-13 15,0.043,0.854,0.103,1
13,2021-10-13 16,0.23149999999999998,0.7685,0.0,2
14,2021-10-13 17,0.2425,0.7575000000000001,0.0,4
15,2021-10-13 18,0.244,0.756,0.0,2
16,2021-10-13 19,0.143,0.8133333333333334,0.043666666666666666,3
17,2021-10-13 21,0.0435,0.9565,0.0,2
18,2021-10-13 22,0.01125,0.73875,0.0,4
0,2021-10-14 01,0.23149999999999998,0.7685,0.0,2
1,2021-10-14 02,0.219,0.781,0.0,2
