,created_at,positive,neutral,negative,count
0,2021-10-01 00,0.09392105263157895,0.9005526315789475,0.005552631578947369,38
1,2021-10-01 01,0.03549,0.93822,0.026269999999999998,100
2,2021-10-01 02,0.03197530864197531,0.9546913580246913,0.013308641975308642,81
3,2021-10-01 03,0.0788032786885246,0.8831803278688525,0.038032786885245896,61
4,2021-10-01 04,0.06182558139534884,0.9159767441860466,0.02219767441860465,86
5,2021-10-01 05,0.028454545454545455,0.9647121212121212,0.006833333333333334,66
6,2021-10-01 06,0.0653116883116883,0.924051948051948,0.010636363636363637,77
7,2021-10-01 07,0.0519404761904762,0.9327738095238095,0.015285714285714286,84
8,2021-10-01 08,0.027403508771929826,0.9552105263157895,0.017368421052631578,57
9,2021-10-01 09,0.031890625,0.958296875,0.0098125,64
10,2021-10-01 10,0.04278431372549019,0.9219019607843137,0.015696078431372548,102
11,2021-10-01 11,0.042095238095238095,0.9319404761904762,0.025952380952380956,84
12,2021-10-01 12,0.041,0.9300224719101124,0.028966292134831463,89
13,2021-10-01 13,0.04926086956521739,0.9063652173913044,0.04434782608695652,115
14,2021-10-01 14,0.03944705882352941,0.9253882352941176,0.03515294117647059,85
15,2021-10-01 15,0.03723958333333333,0.9468229166666666,0.015927083333333335,96
16,2021-10-01 16,0.04242105263157895,0.8999736842105263,0.04444736842105263,76
17,2021-10-01 17,0.09688709677419355,0.8710483870967742,0.03206451612903226,62
18,2021-10-01 18,0.06739622641509434,0.8934905660377358,0.03911320754716981,53
19,2021-10-01 19,0.052218181818181816,0.9259818181818182,0.0218,55
20,2021-10-01 20,0.03634285714285714,0.9587714285714286,0.004914285714285714,35
21,2021-10-01 21,0.046270270270270274,0.9296216216216217,0.02410810810810811,37
22,2021-10-01 22,0.04435555555555556,0.9344,0.021266666666666666,45
23,2021-10-01 23,0.052607843137254896,0.9294313725490196,0.017941176470588235,51
0,2021-10-04 00,0.124,0.8462500000000001,0.029699999999999997,20
1,2021-10-04 01,0.12545,0.8510500000000001,0.0235,20
2,2021-10-04 02,0.08117948717948718,0.8773076923076923,0.041512820512820514,39
3,2021-10-04 03,0.051800000000000006,0.8890285714285714,0.05922857142857143,35
4,2021-10-04 04,0.2742266666666667,0.7116533333333334,0.014119999999999999,75
5,2021-10-04 05,0.2243829787234043,0.7519787234042554,0.023659574468085105,47
6,2021-10-04 06,0.17586538461538462,0.8110961538461539,0.013057692307692308,52
