,created_at,positive,neutral,negative,count
3,2021-10-04 03,0.12285714285714286,0.7828571428571429,0.09428571428571429,14
4,2021-10-04 04,0.09825,0.85175,0.049999999999999996,4
5,2021-10-04 05,0.051333333333333335,0.9076666666666666,0.041,3
6,2021-10-04 06,0.16533333333333333,0.8026666666666666,0.032,3
7,2021-10-04 07,0.0,1.0,0.0,2
8,2021-10-04 08,0.08625,0.86925,0.044375000000000005,8
9,2021-10-04 09,0.0,0.643,0.357,1
10,2021-10-04 10,0.035333333333333335,0.9243333333333333,0.04033333333333333,3
11,2021-10-04 11,0.01790909090909091,0.9820909090909091,0.0,11
12,2021-10-04 12,0.0633,0.91235,0.0243,20
13,2021-10-04 13,0.05377142857142857,0.9019142857142857,0.04437142857142857,35
14,2021-10-04 14,0.06296153846153846,0.9070384615384615,0.030000000000000002,26
15,2021-10-04 15,0.07021428571428572,0.9115357142857142,0.018214285714285714,28
16,2021-10-04 16,0.056,0.903027027027027,0.04094594594594595,37
17,2021-10-04 17,0.10466666666666667,0.872125,0.023291666666666665,24
18,2021-10-04 18,0.14889583333333334,0.7710416666666666,0.0800625,48
19,2021-10-04 19,0.07111904761904762,0.8740952380952381,0.05480952380952381,42
20,2021-10-04 20,0.08008333333333334,0.8649722222222223,0.05491666666666667,36
21,2021-10-04 21,0.06011999999999999,0.91348,0.0264,25
22,2021-10-04 22,0.09004761904761904,0.8716666666666667,0.03828571428571429,21
23,2021-10-04 23,0.13116666666666668,0.8167083333333333,0.052125,24
0,2021-10-05 00,0.09066666666666666,0.8449333333333333,0.0644,15
1,2021-10-05 01,0.12771428571428572,0.8038571428571428,0.06838095238095238,21
2,2021-10-05 02,0.0925,0.9075,0.0,2
3,2021-10-05 03,0.0455,0.88675,0.06775,4
4,2021-10-05 04,0.137,0.8555263157894736,0.00736842105263158,19
5,2021-10-05 05,0.11822222222222223,0.8228888888888889,0.05888888888888889,9
6,2021-10-05 06,0.0,1.0,0.0,1
7,2021-10-05 07,0.14094736842105263,0.8437894736842105,0.015263157894736845,19
8,2021-10-05 08,0.08,0.8729999999999999,0.04699999999999999,3
9,2021-10-05 09,0.081,0.919,0.0,3
10,2021-10-05 10,0.0945,0.891,0.01475,4
11,2021-10-05 11,0.022615384615384614,0.8586153846153846,0.04184615384615385,13
12,2021-10-05 12,0.046625,0.9533750000000001,0.0,8
13,2021-10-05 13,0.09555,0.87565,0.028800000000000003,20
14,2021-10-05 14,0.143625,0.784125,0.07225,8
15,2021-10-05 15,0.09065217391304348,0.8716521739130434,0.03765217391304348,23
16,2021-10-05 16,0.07416666666666667,0.8655476190476191,0.060261904761904767,42
17,2021-10-05 17,0.08660416666666666,0.8399166666666668,0.07347916666666666,48
18,2021-10-05 18,0.08876923076923077,0.8462692307692308,0.06488461538461539,26
19,2021-10-05 19,0.07896969696969697,0.8462121212121212,0.07478787878787879,33
20,2021-10-05 20,0.08195652173913044,0.8613478260869565,0.05669565217391304,23
21,2021-10-05 21,0.053096774193548385,0.9081290322580645,0.03874193548387097,31
22,2021-10-05 22,0.05154166666666667,0.9243333333333333,0.024166666666666666,24
23,2021-10-05 23,0.14196875,0.78103125,0.04575,32
0,2021-10-06 00,0.04286666666666667,0.8683333333333334,0.08873333333333333,15
1,2021-10-06 01,0.0685,0.8440714285714286,0.016000000000000004,14
2,2021-10-06 02,0.11823809523809524,0.8165714285714285,0.06514285714285714,21
3,2021-10-06 03,0.11933333333333333,0.8123333333333332,0.06833333333333333,3
4,2021-10-06 04,0.057916666666666665,0.8728333333333333,0.06933333333333333,12
5,2021-10-06 05,0.06323809523809525,0.8793333333333334,0.05738095238095237,21
6,2021-10-06 06,0.13566666666666669,0.846,0.018333333333333333,3
7,2021-10-06 07,0.15912500000000002,0.743,0.09787499999999999,8
8,2021-10-06 08,0.1558,0.8442000000000001,0.0,5
9,2021-10-06 09,0.08666666666666667,0.8686666666666666,0.04466666666666667,3
10,2021-10-06 10,0.0521,0.9479,0.0,10
11,2021-10-06 11,0.05345,0.9301,0.01645,20
12,2021-10-06 12,0.030892857142857142,0.9016071428571429,0.0675,28
13,2021-10-06 13,0.07922448979591837,0.8641632653061224,0.05659183673469387,49
14,2021-10-06 14,0.14217948717948717,0.8210512820512821,0.03669230769230769,39
15,2021-10-06 15,0.1014,0.8700857142857142,0.028485714285714284,35
16,2021-10-06 16,0.1408888888888889,0.8242222222222223,0.03491111111111111,45
17,2021-10-06 17,0.14504545454545453,0.8351818181818181,0.01972727272727273,22
18,2021-10-06 18,0.13596153846153847,0.8338461538461538,0.030269230769230767,26
19,2021-10-06 19,0.14595833333333333,0.8260833333333334,0.02804166666666667,24
20,2021-10-06 20,0.11087878787878788,0.8374242424242425,0.05169696969696969,33
21,2021-10-06 21,0.06619047619047619,0.8389523809523809,0.04719047619047619,21
22,2021-10-06 22,0.09510526315789473,0.8913157894736842,0.013578947368421053,19
23,2021-10-06 23,0.09603703703703703,0.7982592592592593,0.06866666666666667,27
0,2021-10-07 00,0.09347368421052632,0.8686315789473685,0.03789473684210526,19
1,2021-10-07 01,0.15433333333333332,0.7924444444444444,0.05322222222222222,9
2,2021-10-07 02,0.12971428571428573,0.8068571428571428,0.06342857142857143,7
3,2021-10-07 03,0.1542,0.8028000000000001,0.043,5
4,2021-10-07 04,0.07275000000000001,0.833125,0.09412500000000001,16
5,2021-10-07 05,0.10375000000000001,0.861625,0.034624999999999996,8
6,2021-10-07 06,0.08933333333333333,0.9106666666666667,0.0,3
7,2021-10-07 07,0.152,0.848,0.0,3
8,2021-10-07 08,0.259,0.741,0.0,1
9,2021-10-07 09,0.2,0.8,0.0,2
10,2021-10-07 10,0.06255555555555554,0.9148888888888889,0.022555555555555554,9
11,2021-10-07 11,0.11333333333333334,0.8667222222222222,0.019888888888888887,18
12,2021-10-07 12,0.19318367346938775,0.7951224489795918,0.011714285714285714,49
13,2021-10-07 13,0.08553333333333334,0.8843,0.030133333333333335,30
14,2021-10-07 14,0.09180952380952381,0.8885714285714286,0.019595238095238096,42
15,2021-10-07 15,0.10561818181818182,0.874890909090909,0.01950909090909091,55
16,2021-10-07 16,0.09630434782608695,0.8628478260869565,0.040804347826086954,46
17,2021-10-07 17,0.09552173913043478,0.8709130434782608,0.03356521739130435,23
18,2021-10-07 18,0.10094871794871796,0.8809743589743589,0.01805128205128205,39
19,2021-10-07 19,0.09231578947368421,0.8846315789473684,0.02305263157894737,19
20,2021-10-07 20,0.07366666666666666,0.9117142857142857,0.014666666666666666,21
21,2021-10-07 21,0.08666666666666667,0.9133333333333334,0.0,12
22,2021-10-07 22,0.12000000000000001,0.772125,0.107875,8
23,2021-10-07 23,0.08777777777777779,0.8705555555555555,0.041666666666666664,9
0,2021-10-08 00,0.055714285714285716,0.9047142857142857,0.03957142857142858,7
1,2021-10-08 01,0.20299999999999999,0.797,0.0,3
2,2021-10-08 02,0.0496,0.9118,0.0386,10
3,2021-10-08 03,0.030666666666666665,0.948,0.021,3
4,2021-10-08 04,0.1082,0.8343999999999999,0.05739999999999999,5
5,2021-10-08 05,0.17120000000000002,0.8097999999999999,0.019,5
6,2021-10-08 06,0.1302,0.7607999999999999,0.10900000000000001,5
7,2021-10-08 07,0.10283333333333333,0.8915000000000001,0.005666666666666667,6
8,2021-10-08 08,0.23233333333333336,0.7676666666666666,0.0,3
9,2021-10-08 09,0.0595,0.9405,0.0,2
10,2021-10-08 10,0.06425,0.901,0.03475,4
11,2021-10-08 11,0.030000000000000002,0.7477777777777779,0.0,9
12,2021-10-08 12,0.02675,0.95625,0.017,8
13,2021-10-08 13,0.11104761904761906,0.8810238095238095,0.007928571428571429,42
14,2021-10-08 14,0.08269444444444445,0.9009722222222223,0.016305555555555556,36
15,2021-10-08 15,0.137,0.8482424242424242,0.014696969696969696,33
16,2021-10-08 16,0.12994117647058823,0.8522647058823529,0.01776470588235294,34
17,2021-10-08 17,0.07776923076923078,0.8725384615384615,0.049692307692307695,13
18,2021-10-08 18,0.08389473684210527,0.8942105263157893,0.021842105263157895,19
19,2021-10-08 19,0.06084615384615385,0.8883846153846153,0.050846153846153846,13
20,2021-10-08 20,0.13815384615384615,0.8155384615384615,0.04630769230769231,13
21,2021-10-08 21,0.1026875,0.8973125,0.0,16
22,2021-10-08 22,0.33275,0.61825,0.049,4
23,2021-10-08 23,0.178875,0.792,0.029125,8
0,2021-10-11 00,0.07575,0.90625,0.018,4
1,2021-10-11 01,0.11966666666666666,0.8803333333333333,0.0,3
2,2021-10-11 02,0.15460000000000002,0.8193999999999999,0.0258,5
3,2021-10-11 03,0.15175,0.6910000000000001,0.15725,4
4,2021-10-11 04,0.0,0.6855,0.3145,2
5,2021-10-11 05,0.20870000000000002,0.783,0.0083,10
6,2021-10-11 06,0.06,0.5489999999999999,0.391,2
7,2021-10-11 07,0.158,0.7005,0.1415,2
8,2021-10-11 08,0.19666666666666666,0.7666666666666666,0.037,3
9,2021-10-11 09,0.327,0.6355,0.0375,2
10,2021-10-11 10,0.14691666666666667,0.8279166666666667,0.025249999999999998,12
11,2021-10-11 11,0.0,1.0,0.0,4
12,2021-10-11 12,0.1408888888888889,0.8591111111111112,0.0,9
13,2021-10-11 13,0.0274,0.9531000000000001,0.0195,10
14,2021-10-11 14,0.08772727272727272,0.8498181818181819,0.06245454545454546,22
15,2021-10-11 15,0.083,0.9141111111111111,0.0028888888888888888,18
16,2021-10-11 16,0.10533333333333333,0.8674583333333333,0.02716666666666667,24
17,2021-10-11 17,0.06811111111111111,0.9249999999999999,0.006888888888888889,9
18,2021-10-11 18,0.11531818181818182,0.8643181818181819,0.020363636363636365,22
19,2021-10-11 19,0.09947368421052633,0.8901578947368421,0.010368421052631579,19
20,2021-10-11 20,0.10290000000000002,0.8404,0.05670000000000001,10
21,2021-10-11 21,0.059812500000000005,0.841625,0.0985625,16
22,2021-10-11 22,0.182,0.7904444444444444,0.027444444444444445,9
23,2021-10-11 23,0.1558,0.805,0.0392,5
0,2021-10-12 00,0.012,0.988,0.0,4
1,2021-10-12 01,0.316,0.684,0.0,1
2,2021-10-12 02,0.209,0.7494999999999999,0.0415,4
3,2021-10-12 03,0.052500000000000005,0.92725,0.0205,4
4,2021-10-12 04,0.0,1.0,0.0,1
5,2021-10-12 06,0.063,0.7575000000000001,0.1795,2
6,2021-10-12 07,0.0,0.8575,0.14250000000000002,2
7,2021-10-12 08,0.12671428571428572,0.8445714285714285,0.028714285714285713,7
8,2021-10-12 09,0.037333333333333336,0.9393333333333334,0.023666666666666666,3
9,2021-10-12 10,0.0,0.897,0.103,1
10,2021-10-12 11,0.020749999999999998,0.9685,0.01075,8
11,2021-10-12 12,0.06875,0.889,0.0425,4
12,2021-10-12 13,0.13307142857142856,0.8432142857142857,0.023714285714285716,14
13,2021-10-12 14,0.08381578947368422,0.9059999999999999,0.010210526315789474,38
14,2021-10-12 15,0.10144444444444445,0.8116666666666666,0.03133333333333333,18
15,2021-10-12 16,0.08889285714285713,0.8961785714285714,0.014892857142857142,28
16,2021-10-12 17,0.1073,0.8698600000000001,0.02284,50
17,2021-10-12 18,0.09185714285714285,0.863452380952381,0.04469047619047619,42
18,2021-10-12 19,0.06554545454545456,0.8930606060606061,0.041363636363636366,33
19,2021-10-12 20,0.07172413793103448,0.8528275862068966,0.07544827586206897,29
20,2021-10-12 21,0.09097368421052632,0.9023157894736841,0.006710526315789474,38
21,2021-10-12 22,0.10235714285714285,0.8732142857142857,0.024499999999999997,14
22,2021-10-12 23,0.058333333333333334,0.9256666666666666,0.016,21
0,2021-10-13 00,0.04215384615384616,0.9396153846153846,0.01823076923076923,13
1,2021-10-13 01,0.17109999999999997,0.8230999999999999,0.0058000000000000005,10
2,2021-10-13 02,0.15514285714285717,0.8365714285714285,0.008142857142857143,7
3,2021-10-13 03,0.2085,0.7535,0.03783333333333334,6
4,2021-10-13 04,0.0683,0.9103999999999999,0.0213,10
5,2021-10-13 05,0.013333333333333334,0.9798333333333332,0.006833333333333334,6
6,2021-10-13 06,0.18,0.7571999999999999,0.0626,5
7,2021-10-13 07,0.010833333333333334,0.9891666666666667,0.0,12
8,2021-10-13 08,0.039400000000000004,0.9516,0.009,10
9,2021-10-13 09,0.0,1.0,0.0,8
10,2021-10-13 10,0.0129,0.9231,0.064,10
11,2021-10-13 11,0.025076923076923073,0.9579230769230769,0.017,13
12,2021-10-13 12,0.072,0.8851428571428571,0.04278571428571428,14
13,2021-10-13 13,0.007277777777777778,0.9331111111111111,0.05961111111111111,18
14,2021-10-13 14,0.029249999999999998,0.91734375,0.053375,32
15,2021-10-13 15,0.03365384615384615,0.9168076923076923,0.04953846153846154,26
16,2021-10-13 16,0.0561,0.9130499999999999,0.0309,20
17,2021-10-13 17,0.1481111111111111,0.8245555555555556,0.02722222222222222,9
18,2021-10-13 18,0.02025,0.968125,0.011625,8
19,2021-10-13 19,0.007916666666666667,0.9494166666666667,0.042666666666666665,12
20,2021-10-13 20,0.054625,0.9045,0.0409375,16
21,2021-10-13 21,0.07611111111111112,0.8996666666666666,0.02422222222222222,9
22,2021-10-13 22,0.0523,0.9448000000000001,0.0029000000000000002,10
23,2021-10-13 23,0.048375,0.904875,0.04675,8
0,2021-10-14 00,0.07076923076923078,0.9223846153846154,0.0068461538461538456,13
1,2021-10-14 01,0.08514285714285716,0.9,0.014857142857142857,7
2,2021-10-14 02,0.048,0.9102222222222223,0.04188888888888889,9
3,2021-10-14 03,0.10859999999999999,0.7697,0.1217,10
4,2021-10-14 04,0.0876,0.8724000000000001,0.04,5
5,2021-10-14 05,0.052,0.9333333333333332,0.014666666666666666,6
6,2021-10-14 06,0.046875,0.953125,0.0,8
7,2021-10-14 07,0.101875,0.8981250000000001,0.0,8
8,2021-10-14 08,0.0465,0.9075,0.04575,4
9,2021-10-14 09,0.12433333333333334,0.8756666666666666,0.0,3
10,2021-10-14 10,0.0,1.0,0.0,7
11,2021-10-14 11,0.03811111111111111,0.9618888888888889,0.0,9
12,2021-10-14 12,0.045284090909090906,0.9421022727272728,0.012613636363636362,88
13,2021-10-14 13,0.072015625,0.9163125,0.011671875,64
14,2021-10-14 14,0.06893333333333333,0.9088888888888889,0.022111111111111113,45
15,2021-10-14 15,0.08859259259259258,0.8804814814814814,0.030888888888888886,27
16,2021-10-14 16,0.041851851851851855,0.9424074074074075,0.01574074074074074,27
17,2021-10-14 17,0.085,0.89059375,0.024375,32
18,2021-10-14 18,0.06917647058823528,0.9031176470588235,0.02773529411764706,34
19,2021-10-14 19,0.07440000000000001,0.9069333333333333,0.018733333333333334,15
20,2021-10-14 20,0.056499999999999995,0.8475833333333332,0.09591666666666666,12
21,2021-10-14 21,0.09530769230769232,0.8854615384615385,0.019230769230769232,13
22,2021-10-14 22,0.14563636363636365,0.8454545454545456,0.00890909090909091,11
23,2021-10-14 23,0.08966666666666667,0.8772222222222221,0.033074074074074075,27
0,2021-10-15 00,0.09341176470588236,0.877764705882353,0.028823529411764706,17
1,2021-10-15 01,0.08211111111111111,0.9035555555555556,0.014222222222222223,9
2,2021-10-15 02,0.054,0.9460000000000001,0.0,3
3,2021-10-15 03,0.125,0.875,0.0,9
4,2021-10-15 04,0.05569999999999999,0.9214,0.022899999999999997,10
5,2021-10-15 05,0.0375,0.6154999999999999,0.347,2
6,2021-10-15 06,0.0486,0.9289999999999999,0.0224,5
7,2021-10-15 07,0.2233333333333333,0.7766666666666667,0.0,6
8,2021-10-15 08,0.0525,0.9390000000000001,0.008499999999999999,6
9,2021-10-15 09,0.0,1.0,0.0,1
10,2021-10-15 10,0.044,0.956,0.0,2
11,2021-10-15 11,0.073875,0.874625,0.051500000000000004,8
12,2021-10-15 12,0.05726666666666667,0.8508,0.09193333333333334,15
13,2021-10-15 13,0.08925,0.8863,0.02445,20
14,2021-10-15 14,0.19475,0.8008333333333333,0.004416666666666667,12
15,2021-10-15 15,0.034,0.9051538461538461,0.06084615384615385,13
16,2021-10-15 16,0.08827272727272727,0.8975454545454546,0.014181818181818183,11
17,2021-10-15 17,0.0895625,0.9029375,0.00753125,32
18,2021-10-15 18,0.0294,0.9244,0.0462,20
19,2021-10-15 19,0.04565217391304348,0.9342608695652174,0.02008695652173913,23
20,2021-10-15 20,0.0742608695652174,0.8899999999999999,0.035739130434782614,23
21,2021-10-15 21,0.11950000000000001,0.8379642857142857,0.042499999999999996,28
22,2021-10-15 22,0.0989,0.8648999999999999,0.0363,10
23,2021-10-15 23,0.0959375,0.86475,0.0393125,16
0,2021-10-18 00,0.0162,0.9214,0.0624,5
1,2021-10-18 01,0.0856,0.8876000000000001,0.0268,15
2,2021-10-18 02,0.0317,0.932,0.0363,10
3,2021-10-18 03,0.172,0.828,0.0,1
4,2021-10-18 04,0.2,0.3352,0.4648,5
5,2021-10-18 05,0.25179999999999997,0.6224000000000001,0.1258,5
6,2021-10-18 07,0.0,1.0,0.0,1
7,2021-10-18 08,0.0,0.744,0.256,2
8,2021-10-18 09,0.011285714285714286,0.9139999999999999,0.0747142857142857,7
9,2021-10-18 10,0.02,0.9608571428571429,0.019142857142857145,7
10,2021-10-18 11,0.019692307692307693,0.9781538461538462,0.0021538461538461538,13
11,2021-10-18 12,0.03514285714285714,0.9100714285714285,0.054785714285714285,14
12,2021-10-18 13,0.06795,0.9156000000000001,0.01645,20
13,2021-10-18 14,0.07935,0.9154500000000001,0.0052,20
14,2021-10-18 15,0.09364705882352942,0.8548823529411764,0.05141176470588235,17
15,2021-10-18 16,0.1005,0.8222,0.0774,30
16,2021-10-18 17,0.09438095238095238,0.8083333333333333,0.09733333333333334,21
17,2021-10-18 18,0.09521052631578947,0.882157894736842,0.022631578947368423,19
18,2021-10-18 19,0.0863030303030303,0.8895757575757576,0.024121212121212123,33
19,2021-10-18 20,0.08265,0.8815500000000001,0.035750000000000004,20
