,datetime,Open,High,Low,Close,Adj Close,Volume,pct_change,log_return
0,2021-11-10 09,78.0,78.0,78.0,78.0,78.0,0,,
1,2021-11-10 12,106.75,119.45999908447266,105.47000122070312,107.32009887695312,107.32009887695312,47280906,0.3758987035506811,0.319107120195707
2,2021-11-10 13,107.43000030517578,110.5,95.6500015258789,98.38999938964844,98.38999938964844,29761226,-0.0832099446492629,-0.08687678021101485
3,2021-11-10 14,98.41000366210938,104.48999786376953,95.19999694824219,102.98989868164062,102.98989868164062,15304585,0.04675169550286773,0.04569174569403905
4,2021-11-10 15,102.87000274658203,103.0,98.5999984741211,100.26000213623047,100.26000213623047,8254402,-0.0265064494708237,-0.02686407922605913
5,2021-11-11 09,114.625,116.29000091552734,108.01000213623047,112.12999725341797,112.12999725341797,23964530,0.11839212910706798,0.11189205483590269
6,2021-11-11 10,112.1500015258789,122.41999816894531,110.34500122070312,117.94000244140625,117.94000244140625,17350964,0.05181490529119914,0.050517153294600436
7,2021-11-11 11,117.88999938964844,125.0,116.6500015258789,123.7083969116211,123.7083969116211,14219300,0.048909567159629574,0.04775111707989933
8,2021-11-11 12,123.62999725341797,124.86000061035156,119.4000015258789,120.02999877929688,120.02999877929688,7811052,-0.029734425666772757,-0.03018545698539661
9,2021-11-11 13,119.98999786376953,120.19000244140625,115.1500015258789,118.05999755859375,118.05999755859375,7296610,-0.016412573862684354,-0.016548752234095184
10,2021-11-11 14,118.08999633789062,121.76000213623047,115.01000213623047,119.41010284423828,119.41010284423828,6552909,0.01143575566291588,0.01137086168164375
11,2021-11-11 15,119.44000244140625,124.4000015258789,119.33999633789062,122.9749984741211,122.9749984741211,5646992,0.02985422125071735,0.02941725945854346
12,2021-11-12 09,128.64500427246094,135.1999969482422,125.45999908447266,128.27999877929688,128.27999877929688,23517210,0.043138852376502834,0.042234295035665066
13,2021-11-12 10,128.389892578125,130.5,126.5199966430664,127.44999694824219,127.44999694824219,6647614,-0.006470235726168783,-0.006491258431648429
14,2021-11-12 11,127.42140197753906,130.5,126.75,130.24000549316406,130.24000549316406,4140526,0.02189100519205911,0.021654837554093195
15,2021-11-12 12,130.32000732421875,131.89990234375,126.5999984741211,128.27000427246094,128.27000427246094,5803549,-0.01512593011067187,-0.015241493811371642
16,2021-11-12 13,128.25,128.60879516601562,126.25,128.17999267578125,128.17999267578125,3416845,-0.0007017353526276304,-0.0007019816841266165
17,2021-11-12 14,128.1999969482422,129.66990661621094,127.3311996459961,129.0,129.0,3631047,0.0063973113674056226,0.006376935425698633
18,2021-11-12 15,129.0,130.3300018310547,128.610107421875,129.83999633789062,129.83999633789062,3008295,0.006511599518532085,0.006490490639877671
19,2021-11-15 09,130.8000030517578,140.08999633789062,127.6500015258789,138.46499633789062,138.46499633789062,15925366,0.06642791314900087,0.06431466466076792
20,2021-11-15 10,138.46499633789062,146.0,138.03469848632812,145.86000061035156,145.86000061035156,10724868,0.053407030426774416,0.05202970207827197
21,2021-11-15 11,145.88800048828125,150.38999938964844,144.5,146.66229248046875,146.66229248046875,13148104,0.005500424151652306,0.0054853520620593375
22,2021-11-15 12,146.7050018310547,148.8000030517578,143.0,145.60000610351562,145.60000610351562,6352080,-0.007243077678569576,-0.007269436120314061
23,2021-11-15 13,145.5800018310547,146.5998992919922,139.6699981689453,139.81500244140625,139.81500244140625,5183341,-0.039732166343430464,-0.040543040039414474
24,2021-11-15 14,139.8300018310547,152.52999877929688,138.8000030517578,151.02000427246094,151.02000427246094,8080191,0.08014162740332886,0.07709216902305494
25,2021-11-15 15,150.8800048828125,151.5,146.77639770507812,149.35000610351562,149.35000610351562,4404083,-0.011058125557541376,-0.011119721136661938
26,2021-11-16 09,163.8000030517578,169.6999969482422,153.8800048828125,155.63999938964844,155.63999938964844,32793679,0.04211578861117138,0.04125305866547978
27,2021-11-16 10,155.83990478515625,164.8199005126953,155.33999633789062,159.9499969482422,159.9499969482422,10138474,0.02769209441978715,0.02731560312128518
28,2021-11-16 11,159.9499969482422,163.5,157.60000610351562,161.3800048828125,161.3800048828125,7726248,0.008940343618969004,0.008900615360896797
29,2021-11-16 12,161.41000366210938,166.85000610351562,161.38999938964844,164.86000061035156,164.86000061035156,6682227,0.021563983283220844,0.021334769910348286
30,2021-11-16 13,164.94000244140625,165.02000427246094,161.5,164.7100067138672,164.7100067138672,4180070,-0.0009098258882024313,-0.0009102400309934629
31,2021-11-16 14,164.67999267578125,173.69000244140625,163.8000030517578,171.35000610351562,171.35000610351562,9486288,0.040313272533486044,0.03952189138445469
32,2021-11-16 15,171.34500122070312,179.4698944091797,169.0,172.03030395507812,172.03030395507812,12153115,0.003970223678612106,0.003962363139114058
33,2021-11-17 09,160.8800048828125,163.0,140.35000610351562,142.87950134277344,142.87950134277344,35060925,-0.16945155558125835,-0.18566901999997878
34,2021-11-17 10,142.9199981689453,153.4499969482422,141.10000610351562,147.61000061035156,147.61000061035156,11835286,0.03310831311084628,0.03257203760387892
35,2021-11-17 11,147.78909301757812,148.8000030517578,143.50999450683594,144.11000061035156,144.11000061035156,5137243,-0.02371113058416008,-0.023996763598210985
36,2021-11-17 12,144.10499572753906,146.0,142.00999450683594,143.4949951171875,143.4949951171875,4561052,-0.004267611481224898,-0.004276743726279284
37,2021-11-17 13,143.4250030517578,145.49000549316406,141.02000427246094,141.1999053955078,141.1999053955078,4646642,-0.015994214431000686,-0.01612350230387668
38,2021-11-17 14,141.10000610351562,148.25,140.35000610351562,145.2165985107422,145.2165985107422,6642162,0.028446854153219236,0.028049755614097914
