,datetime,Open,High,Low,Close,Adj Close,Volume,pct_change,log_return
0,2021-10-01 09,778.4000244140625,780.780029296875,763.5900268554688,764.9000244140625,764.9000244140625,4589879,,
1,2021-10-01 10,765.1400146484375,777.77001953125,763.7000122070312,776.7100219726562,776.7100219726562,2675447,0.015439923103206299,0.015321940370221636
2,2021-10-01 11,778.0900268554688,779.6099853515625,771.5499877929688,772.0,772.0,2129538,-0.006064067463290801,-0.006082528591244807
3,2021-10-01 12,772.0900268554688,773.2100219726562,767.6099853515625,770.7999877929688,770.7999877929688,1435711,-0.0015544199572943285,-0.0015556293213984185
4,2021-10-01 13,770.8499755859375,773.1900024414062,766.8300170898438,771.6099853515625,771.6099853515625,1553281,0.001050853102518845,0.001050301342909009
5,2021-10-01 14,771.6160278320312,777.489990234375,770.4000244140625,772.4000244140625,772.4000244140625,1868043,0.001023883927759206,0.0010233601161281603
6,2021-10-01 15,772.4099731445312,776.3499755859375,772.0,775.219970703125,775.219970703125,1510204,0.003650888399701513,0.0036442400832420916
7,2021-10-04 09,796.5,806.9699096679688,791.5499877929688,794.719970703125,794.719970703125,12126022,0.025154150740354986,0.02484299224898382
8,2021-10-04 10,794.75,794.75,785.3300170898438,788.5499877929688,788.5499877929688,5626664,-0.007763719470516572,-0.007794014041425834
9,2021-10-04 11,788.6400146484375,789.1798706054688,782.4000244140625,783.302978515625,783.302978515625,2754169,-0.006653997030713676,-0.006676233565069915
10,2021-10-04 12,783.2000122070312,785.47998046875,776.1199951171875,781.2200927734375,781.2200927734375,2885322,-0.0026591061177050346,-0.002662647820279543
11,2021-10-04 13,781.5250244140625,787.4000244140625,780.8610229492188,782.0,782.0,1924339,0.0009983194669171969,0.0009978214774456812
12,2021-10-04 14,782.063720703125,788.3599853515625,780.0499877929688,781.3903198242188,781.3903198242188,2181322,-0.0007796421685182242,-0.0007799462475325109
13,2021-10-04 15,781.3699951171875,782.5,777.489990234375,781.6400146484375,781.6400146484375,1944778,0.00031955198046840216,0.00031950093460853907
14,2021-10-05 09,784.7962036132812,797.3099975585938,782.0,788.9650268554688,788.9650268554688,5912066,0.009371337277718439,0.009327698719111387
15,2021-10-05 10,788.97998046875,792.0,784.1099853515625,786.3200073242188,786.3200073242188,2673434,-0.003352518098035495,-0.003358150378572432
16,2021-10-05 11,786.3400268554688,787.4199829101562,778.7999877929688,781.594970703125,781.594970703125,2509155,-0.006009050484640066,-0.006027177482346889
17,2021-10-05 12,781.780029296875,782.0,774.2000122070312,776.6599731445312,776.6599731445312,2131050,-0.006314008845469177,-0.006334026504924115
18,2021-10-05 13,776.52001953125,783.6900024414062,774.6900024414062,782.8670043945312,782.8670043945312,1549637,0.007991954606427099,0.007960188076081245
19,2021-10-05 14,782.9400024414062,786.5399780273438,782.0700073242188,782.5654296875,782.5654296875,1776473,-0.0003852183133769005,-0.000385292529011474
20,2021-10-05 15,782.5,783.4000244140625,780.2000122070312,780.5999755859375,780.5999755859375,1225045,-0.0025115524236067888,-0.0025147116622326075
21,2021-10-06 09,776.2000122070312,786.1749877929688,773.219970703125,781.25,781.25,5129080,0.0008327241024759235,0.0008323775801188371
22,2021-10-06 10,781.1599731445312,786.6599731445312,779.0700073242188,780.1300048828125,780.1300048828125,2405732,-0.0014335937499999618,-0.0014346223286801564
23,2021-10-06 11,780.280029296875,785.2999877929688,776.510009765625,777.6649780273438,777.6649780273438,1763242,-0.003159764193198855,-0.0031647667888717755
24,2021-10-06 12,777.5800170898438,780.4299926757812,776.0526733398438,780.155029296875,780.155029296875,1028667,0.0032019588638896312,0.003196843510132813
25,2021-10-06 13,780.3900146484375,784.39990234375,780.0001220703125,783.8900756835938,783.8900756835938,1465842,0.0047875694528112245,0.004776145489679753
26,2021-10-06 14,783.8900146484375,784.3400268554688,779.7100219726562,780.1400146484375,780.1400146484375,1051679,-0.004783911866579005,-0.004795391398966232
27,2021-10-06 15,780.1849975585938,782.97998046875,778.2534790039062,782.530029296875,782.530029296875,1133875,0.003063571414824162,0.0030588882423017174
28,2021-10-07 09,785.4600219726562,789.8400268554688,783.3800048828125,787.3900146484375,787.3900146484375,4263563,0.00621060556095121,0.006191399231172523
29,2021-10-07 10,787.6300048828125,789.6099853515625,785.9299926757812,788.219970703125,788.219970703125,1413456,0.0010540596645209899,0.0010535045336925687
30,2021-10-07 11,788.1599731445312,789.6300048828125,786.1082763671875,786.3198852539062,786.3198852539062,1242727,-0.0024106030294104297,-0.0024135132106950594
31,2021-10-07 12,786.3200073242188,788.1500244140625,785.4401245117188,787.3800048828125,787.3800048828125,916437,0.0013482040182208888,0.0013472960072146143
32,2021-10-07 13,787.4199829101562,789.3798828125,786.080078125,788.6699829101562,788.6699829101562,1086669,0.0016383169744522696,0.0016369763971918081
33,2021-10-07 14,788.7999877929688,805.0,788.2899780273438,796.72998046875,796.72998046875,6047508,0.010219734151479587,0.01016786575655659
34,2021-10-07 15,796.6599731445312,797.998779296875,792.3200073242188,793.5399780273438,793.5399780273438,2059268,-0.004003868963898483,-0.004011905906989623
35,2021-10-08 09,796.2100219726562,796.3800048828125,782.6500244140625,787.6199951171875,787.6199951171875,5598201,-0.0074602201200658635,-0.00748818674043185
36,2021-10-08 10,787.5999755859375,789.4899291992188,780.9099731445312,785.4500122070312,785.4500122070312,2865159,-0.002755114044347473,-0.0027589163565210737
37,2021-10-08 11,785.2999877929688,789.5,781.8900146484375,785.536376953125,785.536376953125,2097037,0.00010995575116368173,0.00010994970647316967
